租車單位,名稱,地址,電話,營業時間
安維斯,台北松德站? , 台北市信義區松德路 155 號, (03) 656-5990 轉520,8:30am ~ 8:30pm
安維斯,台北圓山站??, 台北市大同區承德路三段 235 號 (捷運圓山站出口 1 步行約 2 分鐘), (03) 656-5990 轉120,8:30am ~ 8:30pm
安維斯,板橋服務站??,?新北市板橋區板新路 208 號 (板橋車站步行約 8 分鐘), (03) 656-5990 轉290,8:30am ~ 8:30pm
安維斯,桃園國際機場站? , 桃園市大園區航站南路 9 號(第二航廈入境迎客大廳北側), (03) 656-5990 轉112,6:00am ~ 11:00pm
安維斯,桃園高鐵站??," 桃園市中壢區高鐵北路一段 6 號 (高鐵桃園站內, 8 號出口旁)", (03) 656-5990  轉130,8:00am ~ 9:30pm
安維斯,台北諾富特華航桃園機場飯店?(取、還車服務點，無人站，限預約)??, 桃園市大園區航站南路 1-1 號, (03) 656-5990 轉530,8:30am ~ 8:30pm
安維斯,新竹服務站??, 新竹市中華路 2 段 175 號 (新竹國賓大飯店斜對面), (03) 656-5990 轉535,8:30am ~ 8:30pm
安維斯,新竹高鐵站??, 新竹縣竹北市高鐵七路 6 號 ?(高鐵新竹站內，2 號出口旁), (03) 656-5990 轉135,8:00am ~ 9:30pm
安維斯,竹北服務站?(取、還車服務點，無人站，限預約)??, 新竹縣竹北市中華路 340-15 號, (03) 656-5990 轉810,9:00am ~ 8:00pm
安維斯,苗栗高鐵站???, 苗栗縣後龍鎮高鐵三路 268 號 (高鐵苗栗站內，2 號出口旁), (03) 656-5990 轉137,9:00am ~ 8:30pm
安維斯,頭份服務站?(取、還車服務點，無人站，限預約)??, 苗栗縣頭份鎮自強路 206 號, (03) 656-5990 轉135,9:00am ~ 8:00pm
安維斯,台中高鐵站? , 台中市烏日區站區二路 8 號 ?(高鐵台中站內，1B 出口旁), (03) 656-5990 轉140,7:30am ~ 10:30pm
安維斯,台中清泉崗國際機場站??, 台中市沙鹿區中航路一段 229 號 (台中機場對面), (03) 656-5990 轉141,NA
安維斯,台中台鐵站??, 台中市中區建國路 184 號 (台中火車站步行約 2 分鐘), (03) 656-5990 轉540,NA
安維斯,彰化高鐵站, 彰化縣田中鎮站區路二段 99 號 (高鐵彰化站內，2 號出口旁), (03) 656-5990 轉147,9:00am ~ 8:30pm
安維斯,雲林高鐵站, 雲林縣虎尾鎮站前東路 301 號 ?(高鐵雲林站內，1 號出口旁), (03) 656-5990 轉155,NA
安維斯,嘉義高鐵站 ?, 嘉義縣太保市高鐵西路 168 號 ?(高鐵嘉義站內，2 號出口旁), (03) 656-5990 轉150,NA
安維斯,台南高鐵站??, 台南市歸仁區歸仁大道 100 號??(高鐵台南站內，2 號出口旁), (03) 656-5990 轉160,7:30am ~ 10:30pm
安維斯,台南府城站 ?,?台南市東區前鋒路 143 號 (台南火車站後站出口右轉約 ?100???公尺處), (03) 656-5990 轉620,8:30am ~ 8:30pm
安維斯,左營高鐵站 ?, 高雄市左營區高鐵路 105 號 ?(高鐵左營站內，3 號出口旁), (03) 656-5990 轉170,7:30am ~ 10:30pm
安維斯,高雄小港國際機場站??, 高雄市小港區沿海一路 62 號 (高雄小港機場 1 號出口步行約 8 分鐘), (03) 656-5990 轉572,8:30am ~ 8:30pm
安維斯,花蓮服務站? , 花蓮縣花蓮市國聯一路 100-8 號 (花蓮火車站前站左前方、花蓮客運花蓮新站旁), (03) 656-5990 ?轉538,8:30am ~ 8:30pm
安維斯,台東服務站??, 台東市新站路 227 號 (台東火車站前), (03) 656-5990 ?轉588,8:30am ~ 8:30pm
